club, country
OFI Heraklion, GRE
SK Beveren, BEL
Young Boys, SUI
Dinamo Zagreb, YUG
1.FC Magdeburg, GDR
Royal Antwerp, BEL
AEK Athens, GRE
Zenit Leningrad, URS
Újpest Dózsa, HUN
Real Valladolid, ESP
Espanyol, ESP
Borussia Mönchengladbach, GER
Montpellier, FRA
Aston Villa, ENG
PAOK Thessaloniki, GRE
FC Luzern, SUI
Ferencváros, HUN
Djurgårdens IF, SWE
Iraklis Thessaloniki, GRE
Dinamo Tirana, ALB
IFK Norrköping, SWE
MTK Budapest, HUN
Lillestrøm SK, NOR
FC Sochaux-Montbéliard, FRA
Zalgiris Vilnius, URS
Kuusysi Lahti, FIN
Apollon Limassol, CYP
Tatabánya, HUN
DAC Dunajska Streda, TCH
Hellas Verona, ITA
Jeunesse d'Esch, LUX
Hajduk Split, YUG
Torino, ITA
Roda JC Kerkrade, NED
Bologna, ITA
Baník Ostrava, TCH
FC Wettingen, SUI
Hibernian, SCO
Paris Saint-Germain, FRA
Waregem, BEL
Dinamo Moscow, URS
Kalmar FF, SWE
Standard Liège, BEL
Vitesse Arnhem, NED
KFC Uerdingen, GER
Lausanne Sports, SUI
KA Akureyri, ISL
Slavia Sofia, BUL
Politehnica Timisoara, ROU
Sevilla, ESP
Fenerbahçe, TUR
Trabzonspor, TUR
Inter Bratislava, TCH
Avenir Beggen, LUX
1.FC Kaiserslautern, GER
Estrela Amadora, POR
FC Twente Enschede, NED
Derry City, IRL
Vojvodina Novi Sad, YUG
AEL Limassol, CYP
FK Rad Belgrade, YUG
Sliema Wanderers, MLT
Slovan Bratislava, TCH
Boavista, POR
Haka Valkeakoski, FIN
Otelul Galati, ROU
Hamrun Spartans, MLT
Ikast FS, DEN
AE Larissa, GRE
Bekescsabai Elore, HUN
Servette FC Genève, SUI
1.FC Nürnberg, GER
Östers IF, SWE
SC Krems, AUT
FK Borac Banja Luka, YUG
IA Akranes, ISL
AaB Aalborg, DEN
Merthyr Tydfil FC, WAL
Wismut Aue, GDR
FC Den Haag, NED
FC Utrecht, NED
Dinamo Tbilisi, URS
Bohemians Praha, TCH
Sporting Gijón, ESP
St. Mirren, SCO
Vllaznia Shkodër, ALB
Lokomotiv Sofia, BUL
Mjøndalen IF, NOR
LASK Linz, AUT
MSC Pécs, HUN
APOEL Nicosia, CYP
B1903 København, DEN
AA Gent, BEL
Widzew Lódz, POL
Stahl Brandenburg, GDR
Ilves Tampere, FIN
RC Lens, FRA
FC Karl-Marx-Stadt, GDR
Chernomorets Odessa, URS
Fram Reykjavik, ISL
Metalist Kharkov, URS
Carl Zeiss Jena, GDR
Cardiff City, WAL
ETO Györ, HUN
FH Hafnarfjardar, ISL
KuPS Kuopio, FIN
GAIS Göteborg, SWE
Glenavon, NIR
PSV Schwerin, GDR
St. Patrick's Athletic, IRL
Lyngby BK, DEN
Næstved IF, DEN
Ruch Chorzow, POL
Union Luxembourg, LUX
Swansea City, WAL
Sturm Graz, AUT
Molde FK, NOR
Floriana, MLT
Sakaryaspor, TUR
GD Chaves, POR
Tromsø IL, NOR
Bohemians Dublin, IRL
Pogon Szczecin, POL
AIK Stockholm, SWE
Slask Wroclaw, POL
KSC Lokeren, BEL
Shamrock Rovers, IRL
NK Rijeka, YUG
Coleraine, NIR
Vålerengen IF, NOR
Sigma Olomouc, TCH
FC Beroe Stara Zagora, BUL
Spartak Trnava, TCH
Vasas Budapest, HUN
FC Nantes, FRA
