club, country
Zaglebie Sosnowiec, POL
Levski-Spartak Sofia, BUL
MP Mikkeli, FIN
Rosenborg BK, NOR
Everton, ENG
Coventry City, ENG
Eintracht Braunschweig, GER
Dundee FC, SCO
SK Beveren, BEL
Eintracht Frankfurt, GER
SK Brann Bergen, NOR
Panachaiki Patras, GRE
Zaria Voroshilovgrad, URS
IFK Norrköping, SWE
Viking Stavanger, NOR
Wrexham, WAL
Cork Hibernians, IRL
FC Den Haag, NED
Vasas Budapest, HUN
CSKA Moscow, URS
Zaglebie Walbrzych, POL
Newcastle United, ENG
Lokomotive Leipzig, GDR
Bursaspor, TUR
Glentoran, NIR
UD Las Palmas, ESP
Vorwärts Berlin, GDR
Zeljeznicar Sarajevo, YUG
ETO Györ, HUN
Slavia Praha, TCH
Portadown, NIR
Waregem, BEL
FC Vorwärts Frankfurt, GDR
Royal Antwerp, BEL
Jiul Petrosani, ROU
KB København, DEN
Besiktas, TUR
Valletta FC, MLT
Östers IF, SWE
SK Vöest Linz, AUT
Wuppertaler SV, GER
Espanyol, ESP
OGC Nice, FRA
Vejle BK, DEN
Admira Wacker, AUT
Ards FC, NIR
Pezoporikos Larnaca, CYP
Universitatea Cluj, ROU
Fremad Amager, DEN
Lausanne Sports, SUI
Landskrona BoIS, SWE
Floriana, MLT
Frem Kobenhavn, DEN
Beerschot VAV, BEL
Lierse SK, BEL
Olympique Nimes, FRA
FC Halle, GDR
St. Johnstone, SCO
Servette FC Genève, SUI
Komloi Banyasz, HUN
Austria Salzburg, AUT
Southampton FC, ENG
Hibernians FC, MLT
Cagliari, ITA
CS Sedan, FRA
Linfield Belfast, NIR
Vitória Guimarães, POR
Kickers Offenbach, GER
AS Angoulême, FRA
AB København, DEN
Sevilla, ESP
FC Barreirense, POR
TJ Gottwaldov, TCH
Union Luxembourg, LUX
Ilves-Kissat, FIN
1.FC Kaiserslautern, GER
Real Zaragoza, ESP
Tatran Presov, TCH
Besa Kavajë, ALB
Coleraine, NIR
Panionios, GRE
Pécsi Dózsa, HUN
AS Monaco, FRA
HJK Helsinki, FIN
Hvidovre IF, DEN
Videoton Fehérvár, HUN
Etar Veliko Tarnovo, BUL
Finn Harps, IRL
Valur Reykjavik, ISL
Steagul Rosu Brasov, ROU
Næstved IF, DEN
NAC Breda, NED
AIK Stockholm, SWE
Jeunesse d'Esch, LUX
Torpedo Moscow, URS
Keflavik, ISL
Chimia Rimnicu Vilcea, ROU
Ankaragücü, TUR
Salgótarján BTC, HUN
Omonia Nicosia, CYP
SCO Angers, FRA
SC Bastia, FRA
IBV Vestmannaeyjar, ISL
Aris Bonnevoie, LUX
IA Akranes, ISL
FC Lugano, SUI
Dinamo Tirana, ALB
Shelbourne, IRL
Stade Rennais, FRA
Göztepe, TUR
Kilmarnock, SCO
Karpaty Lvov, URS
Olimpija Ljubljana, YUG
17 Nëntori Tirana, ALB
