club, country
HNK Rijeka, Croatia
Sassuolo, Italy
FC Turín, Italy
Sampdoria, Italy
MOL Vidi, Hungary
Östersunds, Sweden
AEK Larnaca, Cyprus
OGC Nice, France
Austria Wien, Austria
Girondins Bordeaux, France
RC Strasbourg, France
R. Charleroi SC, Belgium
LOSC Lille, France
Astra Giurgiu, Romania
FC Lugano, Switzerland
Vitória Guimarães, Portugal
FC Sion, Switzerland
Ferencváros, Hungary
Spartak Trnava, Slovakia
Brøndby, Denmark
Dundalk, Ireland
Dudelange, Luxembourg
Rubin Kazaň, Russia
Arsenal Tula, Russia
FC Ufa, Russia
Osmanlıspor, Turkey
Slovan Liberec, Czech Republic
Rio Ave, Portugal
Arouca, Portugal
CS Marítimo, Portugal
Os Belenenses, Portugal
Qäbälä, Azerbaijan
Hajduk Split, Croatia
Shkëndija, North Macedonia
Lech Poznaň, Poland
Jablonec, Czech Republic
Slovan Bratislava, Slovakia
Konyaspor, Turkey
TNS, Wales
AIK Stockholm, Sweden
HJK, Finland
Vitesse, Netherlands
Dinamo Minsk, Belarus
Sūduva, Lithuania
Aberdeen, Scotland
Zrinjski, Bosnia-Herzegovina
Zulte Waregem, Belgium
KV Oostende, Belgium
Royal Antwerp FC, Belgium
KF Skënderbeu, Albania
Alashkert, Armenia
Žalgiris, Lithuania
Kairat, Kazakhstan
Dnipro, Ukraine
FK Mariupol, Ukraine
FC Olexandriya, Ukraine
Vorskla, Ukraine
Olimpik Donetsk, Ukraine
Domžale, Slovenia
Akhisar Belediyespor, Turkey
Yeni Malatyaspor, Turkey
Trabzonspor, Turkey
Viitorul, Romania
FK Kukësi, Albania
Pyunik, Armenia
Sturm Graz, Austria
FC Luzern, Switzerland
AS Trenčín, Slovakia
FC Vaduz, Liechtenstein
SCR Altach, Austria
Wolfsberger AC, Austria
Admira, Austria
Go Ahead Eagles, Netherlands
FC Groningen, Netherlands
Heracles, Netherlands
FC Utrecht, Netherlands
Valletta, Malta
Lincoln, Gibraltar
Ventspils, Latvia
Olimpija Ljubljana, Slovenia
Crusaders, Northern Ireland
Atromitos, Greece
Universitatea Craiova, Romania
Panathinaikos, Greece
Kalju, Estonia
FK Vardar, North Macedonia
Sigma Olomouc, Czech Republic
FC Zlín, Czech Republic
Mladá Boleslav, Czech Republic
SønderjyskE, Denmark
Randers FC, Denmark
Lyngby BK, Denmark
FC Nordsjælland, Denmark
Esbjerg fB, Denmark
FK Sarajevo, Bosnia-Herzegovina
Dinamo Tbilisi, Georgia
Fola, Luxembourg
Cork, Ireland
Shakhtyor, Belarus
Asteras Tripolis, Greece
FH Hafnarfjördur, Iceland
FC Santa Coloma, Andorra
NK Osijek, Croatia
Partizani, Albania
AEL Limassol, Cyprus
Anorthosis Famagusta FC, Cyprus
Omonia, Cyprus
Panionios GSS, Greece
Giannina, Greece
Aris Saloniki, Greece
UMF Stjarnan, Iceland
Budućnost Podgorica, Montenegro
Progrès Niedercorn, Luxembourg
FK Riteriai, Lithuania
Valur, Iceland
Linfield, Northern Ireland
Lokomotiva Zagreb, Croatia
Sarpsborg 08, Norway
FC St Gallen, Switzerland
Budapest Honvéd, Hungary
FC Thun, Switzerland
Grasshoppers, Switzerland
Liepāja, Latvia
FK Sutjeska, Montenegro
OFK Titograd, Montenegro
Flora, Estonia
Mladost Lučani, Serbia
Vojvodina, Serbia
Spartak Subotica, Serbia
Čukarički, Serbia
Radnički Niš, Serbia
Spartaks Jūrmala, Latvia
Shamrock Rovers, Ireland
Torpedo Kutaisi, Georgia
Neftçi, Azerbaijan
B36, Faroe Islands
FC Milsami, Moldova
Kilmarnock FC, Scotland
Hibernian, Scotland
St. Johnstone FC, Scotland
Inverness CT, Scotland
Hearts, Scotland
FK Haugesund, Norway
Stabæk, Norway
SK Brann, Norway
Strømsgodset, Norway
Odds BK, Norway
Lillestrøm SK, Norway
Chikhura, Georgia
Häcken, Sweden
Riga FC, Latvia
Norrköping, Sweden
Levski, Bulgaria
Beitar Jerusalem, Israel
Bnei Yehuda Tel Aviv, Israel
M. Haifa, Israel
Hapoel Haifa, Israel
Ironi Kiryat Shmona, Israel
Djurgårdens IF, Sweden
Göteborg, Sweden
IF Elfsborg, Sweden
FK Vitebsk, Belarus
Dinamo Brest, Belarus
Torpedo Zhodino, Belarus
Rabotnicki, North Macedonia
Balzan, Malta
Hibernians, Malta
Connah's Quay Nomads, Wales
Levadia, Estonia
Aktobe, Kazakhstan
Ordabasy, Kazakhstan
Irtysh Pavlodar, Kazakhstan
Tobyl Kostanay, Kazakhstan
Keşlə FK, Azerbaijan
Səbail FK, Azerbaijan
Käpäz, Azerbaijan
Zira FK, Azerbaijan
Inter Baku, Azerbaijan
Jagiellonia Białystok, Poland
DAC Dunajská Streda, Slovakia
Vikingur, Faroe Islands
La Fiorita, San Marino
Željezničar Sarajevo, Bosnia-Herzegovina
Debrecen, Hungary
Górnik Zabrze, Poland
Arka Gdynia, Poland
Zagłębie, Poland
Śląsk Wrocław, Poland
KS Cracovia, Poland
Piast Gliwice, Poland
Lechia Gdańsk, Poland
KÍ Klaksvík, Faroe Islands
Široki Brijeg, Bosnia-Herzegovina
KF Laçi, Albania
Europa, Gibraltar
PFC Litex Lovech, Bulgaria
Cherno More Varna, Bulgaria
Lokomotiv Plovdiv, Bulgaria
FC Dunav Ruse, Bulgaria
Slavia Sofia, Bulgaria
Botev Plovdiv, Bulgaria
CSKA Sofia, Bulgaria
Beroe, Bulgaria
MŠK Žilina, Slovakia
MFK Ružomberok, Slovakia
Spartak Myjava, Slovakia
FC Ararat-Armenia, Armenia
Gżira United, Malta
Cliftonville, Northern Ireland
KR Reykjavík, Iceland
Kuopion PS, Finland
Rudar Pljevlja, Montenegro
NSÍ, Faroe Islands
Banants, Armenia
Samtredia, Georgia
Tre Penne, San Marino
NŠ Mura, Slovenia
FC Koper, Slovenia
NK Celje, Slovenia
ND Gorica, Slovenia
Rudar Velenje, Slovenia
Dinamo Bucureşti, Romania
CSMS laşi, Romania
FC Botoşani, Romania
Pandurii, Romania
ASA Târgu Mureş, Romania
Birkirkara, Malta
HB, Faroe Islands
UE Santa Coloma, Andorra
JK Narva Trans, Estonia
CS Petrocub, Moldova
UE Engordany, Andorra
KF Shkupi, North Macedonia
FC Saburtalo, Georgia
Újpest FC, Hungary
St Patrick's, Ireland
Jelgava, Latvia
Zaria Balti, Moldova
Budapesti Vasas, Hungary
St. Joseph's FC, Gibraltar
Prishtina KF, Kosovo
MTK, Hungary
Jeunesse Esch, Luxembourg
Folgore, San Marino
Glenavon, Northern Ireland
RoPS, Finland
Drita Gjilan, Kosovo
KF Feronikeli, Kosovo
Seinäjoki, Finland
SP Tre Fiori, San Marino
UE Sant Julià, Andorra
Akademija Pandev, North Macedonia
FK Renova, North Macedonia
Makedonija GP, North Macedonia
FK Pelister, North Macedonia
Sileks, North Macedonia
Teuta, Albania
KF Tiranë, Albania
Luftëtari Gjirokastër, Albania
Dila, Georgia
Atlantas, Lithuania
Ballymena United, Northern Ireland
Breidablik, Iceland
FC Lahti, Finland
Coleraine FC, Northern Ireland
Mariehamn, Finland
Bala Town, Wales
Gandzasar FC, Armenia
Shirak, Armenia
FC Stumbras, Lithuania
Kauno Žalgiris, Lithuania
Derry City, Ireland
FK Zeta, Montenegro
FK Kruoja Pakruojis, Lithuania
Radnik, Bosnia-Herzegovina
Zimbru, Moldova
Dacia, Moldova
Speranţa Nisporeni, Moldova
FC Saxan, Moldova
UC Dublin, Ireland
Skonto FC, Latvia
Olimpic Sarajevo, Bosnia-Herzegovina
FK Rīgas Futbola skola, Latvia
Sloboda, Bosnia-Herzegovina
Floriana FC, Malta
Inter Turku, Finland
ÍBV Vestmannaeyjar, Iceland
Differdange, Luxembourg
RFCU Luxemburg, Luxembourg
Ilves Tampere, Finland
Ulisses FC, Armenia
Vaasan PS, Finland
Víkingur Reykjavík, Iceland
Barry Town United, Wales
Airbus UK, Wales
Cardiff Metropolitan, Wales
Newtown AFC, Wales
Llandudno Town, Wales
Bangor City, Wales
Cefn Druids, Wales
FCI Tallinn, Estonia
JK Sillamäe Kalev, Estonia
Spartaki Tskhinvali, Georgia
Dinamo Batumi, Georgia
Bokelj, Montenegro
KF Trepça'89, Kosovo
Glentoran Belfast, Northern Ireland
Lusitans, Andorra
AC Juvenes/Dogana, San Marino
