club, country
Boavista, POR
Slavia Sofia, BUL
Queens Park Rangers, ENG
Wisla Kraków, POL
Sportul Studentesc, ROU
KB København, DEN
Hellas Verona, ITA
IF Elfsborg, SWE
Bryne FK, NOR
Dinamo Tirana, ALB
Napoli, ITA
Tatabánya, HUN
Hvidovre IF, DEN
Arsenal, ENG
SKA Rostov-na-Donu, URS
Partizani Tirana, ALB
Arges Pitesti, ROU
APOEL Nicosia, CYP
Vasas Budapest, HUN
Fortuna Düsseldorf, GER
FC Basel, SUI
Zeljeznicar Sarajevo, YUG
Haka Valkeakoski, FIN
Newport County, WAL
Club Brugge, BEL
Royal Antwerp, BEL
Viking Stavanger, NOR
Galatasaray, TUR
Slask Wroclaw, POL
Velez Mostar, YUG
Dundalk, IRL
Zbrojovka Brno, TCH
Esbjerg fB, DEN
Dnepr Dnepropetrovsk, URS
Sparta Rotterdam, NED
RC Lens, FRA
Torino, ITA
West Ham United, ENG
Real Betis, ESP
Lillestrøm SK, NOR
Fortuna Sittard, NED
NK Rijeka, YUG
Bohemians Dublin, IRL
FC Sliven, BUL
Real Valladolid, ESP
Hamrun Spartans, MLT
AIK Stockholm, SWE
AGF Aarhus, DEN
LASK Linz, AUT
IA Akranes, ISL
Besiktas, TUR
Kuusysi Lahti, FIN
Apollon Limassol, CYP
Vålerengen IF, NOR
Steaua Bucuresti, ROU
Stade Lavallois, FRA
AEK Athens, GRE
Vitória Guimarães, POR
FC Groningen, NED
IBV Vestmannaeyjar, ISL
Torpedo Moscow, URS
Östers IF, SWE
Swansea City, WAL
Lokomotiv Sofia, BUL
HJK Helsinki, FIN
Stal Mielec, POL
Corvinul Hunedoara, ROU
IFK Norrköping, SWE
Slovan Bratislava, TCH
Limerick, IRL
Grazer AK, AUT
Athlone Town, IRL
Enosis Paralimni, CYP
CSKA Moscow, URS
Næstved IF, DEN
Fram Reykjavik, ISL
Vejle BK, DEN
Kalmar FF, SWE
SC Bastia, FRA
Szombierki Bytom, POL
Politehnica Timisoara, ROU
St. Mirren, SCO
Haugur Haugesund, NOR
Wolverhampton Wanderers, ENG
Sporting Gijón, ESP
Hibernians FC, MLT
Castilla, ESP
FC Beroe Stara Zagora, BUL
FC Twente Enschede, NED
Ballymena United, NIR
Watford FC, ENG
KFC Winterslag, BEL
FC Metz, FRA
Hammarby IF, SWE
Spartak Varna, BUL
NEC Nijmegen, NED
IK Brage, SWE
FC Haarlem, NED
Lausanne Sports, SUI
Siófoki Bányász, HUN
AJ Auxerre, FRA
Uni College Dublin, IRL
Union Luxembourg, LUX
Red Boys Differdange, LUX
Wrexham, WAL
Hearts FC, SCO
SK Brann Bergen, NOR
Coleraine, NIR
B1903 København, DEN
Mersin Idmanyurdu, TUR
Borussia Dortmund, GER
FC Baia Mare, ROU
B93 København, DEN
Pezoporikos Larnaca, CYP
Progrès Niederkorn, LUX
Jeunesse d'Esch, LUX
KTP Kotka, FIN
RWD Molenbeek, BEL
OPS Oulu, FIN
Kastoria FC, GRE
Crusaders Belfast, NIR
Waterford, IRL
Halmstads BK, SWE
